item,category,packed,notes
Folding chairs or blanket,Concert,false,For Concerts on the Creek
Light rain jacket or umbrella,Weather,false,Outdoor concert backup
Comfortable walking shoes,Clothing,false,Downtown walking weekend
Casual evening clothes,Clothing,false,For dinner and drinks
Phone charger,Tech,false,
Sunglasses,Weather,false,
Small bag for concert,Concert,false,For water and essentials
Cash or card for vendors,Concert,false,Food trucks and beer vendors
Airbnb door code saved securely,Lodging,false,Do not place in shared public app
Message Jenny at checkout,Lodging,false,Checkout is by 11 AM Sunday
Dinner reservation for Saturday,Food,false,Consider ILDA or Lulu's
